id,Фамилия,Имя,Отдел,Телефон,Дата_рождения,Хобби
38,Потемкин,Андрей,продажи,+79381155322,22-3-1984,футбол
39,Семенов,Вячеслав,маректинг,+79876975658,19-11-1985,футбол
40,Андреев,Михаил,сервис,+79452138998,17-11-1963,саморазвитие
41,Сергеев,Аркадий,кадры,+79220149701,10-12-1969,рыбалка
42,Орлов,Андрей,продажи,+79571387699,9-5-1970,авто
43,Синицын,Михаил,бухгалтерия,+79331848005,13-2-1960,музеи
44,Семенов,Аркадий,сервис,+79956037628,4-7-1997,авто
45,Голубев,Андрей,логистика,+79524354825,3-7-1974,музеи
46,Сидоров,Аркадий,продажи,+79468489276,8-4-1987,футбол
47,Сидоров,Вячеслав,сервис,+79639512958,17-9-1987,саморазвитие
48,Иванов,Николай,продажи,+79849959625,25-4-1991,авто
49,Сидоров,Михаил,продажи,+79354514403,14-2-1978,рыбалка
50,Семенов,Петр,сервис,+79666344222,9-11-1968,рыбалка
51,Орлов,Андрей,снабжение,+79927000741,22-6-1978,саморазвитие
52,Иванов,Михаил,маректинг,+79226556999,12-1-1987,футбол
53,Потемкин,Иван,сервис,+79203649401,18-10-1978,прочее
54,Семенов,Андрей,маректинг,+79495148857,13-4-1984,футбол
55,Попов,Аркадий,снабжение,+79746349400,14-6-1981,прочее
56,Синицын,Михаил,юристы,+79969597365,19-9-1964,театры
57,Потемкин,Сергей,логистика,+79414949767,6-2-1990,музеи
58,Синицын,Вячеслав,кадры,+79130686582,2-5-1998,авто
59,Синицын,Иван,маректинг,+79970838123,22-5-1981,баня
60,Синицын,Андрей,сервис,+79833284415,13-7-1994,рыбалка
61,Петров,Михаил,дирекция,+79434581957,14-8-1960,путешествия
62,Орлов,Николай,логистика,+79710941621,20-1-1974,театры
63,Семенов,Вячеслав,снабжение,+79190396550,21-6-1961,футбол
64,Орлов,Петр,сервис,+79589596448,8-5-1961,музеи
65,Андреев,Андрей,кадры,+79853134335,20-4-1979,музеи
66,Синицын,Аркадий,дирекция,+79567186339,21-9-1992,театры
67,Сидоров,Михаил,сервис,+79354282288,9-9-1992,путешествия
68,Сидоров,Николай,логистика,+79421430467,13-6-1969,путешествия
69,Голубев,Михаил,продажи,+79407475143,17-1-1960,рыбалка
70,Голубев,Николай,логистика,+79740675354,22-7-1965,рыбалка
71,Иванов,Иван,снабжение,+79403357508,28-3-1972,футбол
72,Потемкин,Михаил,снабжение,+79115091664,14-4-1984,рыбалка
73,Орлов,Николай,сервис,+79137784171,18-5-1960,авто
74,Попов,Аркадий,бухгалтерия,+79267987034,25-8-1975,путешествия
75,Попов,Сергей,продажи,+79659234865,10-5-1992,баня
76,Андреев,Петр,дирекция,+79201669896,14-8-1998,футбол
77,Орлов,Иван,бухгалтерия,+79937689520,24-10-1979,музеи
78,Попов,Вячеслав,юристы,+79664168488,8-5-1998,рыбалка
79,Голубев,Николай,логистика,+79801585455,5-11-1976,путешествия
80,Потемкин,Петр,маректинг,+79672021576,20-8-1981,баня
81,Потемкин,Иван,бухгалтерия,+79688354411,16-3-1968,путешествия
82,Попов,Сергей,продажи,+79489531477,26-2-1986,путешествия
83,Голубев,Аркадий,снабжение,+79956969479,2-10-1981,музеи
84,Семенов,Михаил,кадры,+79390507240,9-1-1966,баня
85,Голубев,Сергей,сервис,+79241775728,4-4-1988,прочее
86,Потемкин,Вячеслав,дирекция,+79632773462,19-3-1967,авто
87,Петров,Николай,логистика,+79746889642,27-10-1964,музеи
88,Семенов,Андрей,дирекция,+79210092155,12-4-1989,футбол
89,Потемкин,Андрей,сервис,+79592198303,15-7-1984,рыбалка
90,Голубев,Иван,продажи,+79130890183,25-11-1961,рыбалка
91,Синицын,Петр,юристы,+79620326316,23-8-1988,музеи
92,Синицын,Сергей,сервис,+79506143720,24-3-1960,футбол
93,Сидоров,Сергей,продажи,+79787111740,15-2-1973,музеи
94,Синицын,Андрей,бухгалтерия,+79320671492,1-2-1999,саморазвитие
95,Петров,Михаил,сервис,+79276175181,11-5-1965,саморазвитие
96,Голубев,Петр,дирекция,+79470289439,24-8-1960,путешествия
97,Семенов,Петр,дирекция,+79456658921,19-4-1990,прочее
98,Потемкин,Андрей,логистика,+79858431686,13-7-1988,путешествия
99,Иванов,Петр,юристы,+79260789924,6-12-1979,рыбалка
100,Сидоров,Андрей,юристы,+79788053963,14-7-1966,футбол
101,Петров,Аркадий,сервис,+79918129977,2-1-1985,рыбалка
102,Семенов,Вячеслав,дирекция,+79656280891,24-3-1984,прочее
103,Семенов,Михаил,бухгалтерия,+79137823415,12-9-1985,театры
104,Орлов,Михаил,снабжение,+79404213441,26-10-1979,футбол
105,Семенов,Иван,дирекция,+79782842297,25-5-1992,авто
106,Иванов,Николай,продажи,+79351706986,6-10-1982,театры
107,Сергеев,Николай,логистика,+79885153218,1-9-1965,авто
108,Голубев,Сергей,продажи,+79393123791,28-4-1995,путешествия
109,Голубев,Петр,снабжение,+79936472192,20-12-1970,авто
110,Петров,Аркадий,снабжение,+79508685307,13-3-1973,театры
111,Голубев,Иван,продажи,+79700594739,20-3-1978,театры
112,Иванов,Аркадий,сервис,+79191329122,27-12-1979,авто
113,Сергеев,Вячеслав,бухгалтерия,+79470037609,7-4-1995,саморазвитие
114,Орлов,Андрей,сервис,+79566406345,13-7-1998,авто
115,Попов,Аркадий,логистика,+79212120487,10-8-1966,футбол
116,Андреев,Иван,дирекция,+79248822126,6-9-1974,путешествия
117,Петров,Николай,юристы,+79805526561,13-5-1998,путешествия
118,Петров,Николай,бухгалтерия,+79223950588,12-2-1999,путешествия
119,Потемкин,Аркадий,сервис,+79870832815,12-8-1969,музеи
120,Синицын,Аркадий,снабжение,+79133986146,11-5-1981,авто
