id,Фамилия,Имя,Отдел,Телефон,Дата_рождения,Хобби
57,Орлов,Аркадий,маректинг,+79831725242,25-8-1998,путешествия
58,Сидоров,Сергей,логистика,+79580894339,16-10-1987,рыбалка
59,Орлов,Аркадий,сервис,+79368738144,2-11-1971,музеи
60,Андреев,Иван,сервис,+79949126526,4-2-1982,музеи
61,Иванов,Аркадий,сервис,+79324138500,20-8-1992,авто
62,Голубев,Андрей,снабжение,+79791902842,19-9-1976,музеи
63,Сидоров,Сергей,логистика,+79384811808,24-5-1996,баня
64,Попов,Вячеслав,маректинг,+79937071358,15-8-1976,саморазвитие
65,Семенов,Вячеслав,дирекция,+79834506991,7-4-1994,футбол
66,Голубев,Михаил,логистика,+79185924745,1-3-1988,музеи
67,Потемкин,Иван,логистика,+79781285364,18-4-1966,авто
68,Иванов,Вячеслав,дирекция,+79671135977,25-3-1967,рыбалка
69,Иванов,Иван,бухгалтерия,+79818147192,1-3-1990,театры
70,Сергеев,Сергей,сервис,+79710891938,22-9-1963,рыбалка
71,Сергеев,Вячеслав,продажи,+79182193340,23-8-1962,театры
72,Андреев,Михаил,сервис,+79688648507,27-10-1961,театры
73,Голубев,Петр,дирекция,+79750143445,6-2-1982,футбол
74,Синицын,Вячеслав,бухгалтерия,+79847636937,11-4-1970,футбол
75,Голубев,Николай,юристы,+79745417570,7-12-1969,прочее
76,Голубев,Андрей,дирекция,+79574348942,28-8-1984,рыбалка
77,Иванов,Аркадий,дирекция,+79884665736,20-7-1974,музеи
78,Потемкин,Петр,бухгалтерия,+79386154086,18-2-1996,саморазвитие
79,Семенов,Вячеслав,дирекция,+79644111651,17-11-1961,театры
80,Потемкин,Андрей,дирекция,+79883991941,6-8-1989,саморазвитие
81,Попов,Сергей,маректинг,+79875555493,5-3-1986,саморазвитие
82,Сидоров,Петр,сервис,+79681115264,28-7-1976,баня
83,Андреев,Михаил,бухгалтерия,+79357107422,5-12-1974,музеи
84,Сергеев,Михаил,снабжение,+79953482998,28-8-1972,баня
85,Потемкин,Николай,сервис,+79678096761,12-3-1995,баня
86,Сидоров,Михаил,бухгалтерия,+79339526764,23-5-1960,прочее
87,Орлов,Аркадий,кадры,+79741428357,19-10-1970,рыбалка
88,Сидоров,Николай,логистика,+79982417652,17-5-1961,музеи
89,Голубев,Вячеслав,логистика,+79442563459,25-4-1983,авто
90,Андреев,Сергей,бухгалтерия,+79703141331,7-2-1992,саморазвитие
91,Орлов,Сергей,маректинг,+79157516037,24-3-1992,баня
92,Андреев,Сергей,дирекция,+79426930766,24-12-1963,путешествия
93,Иванов,Сергей,кадры,+79775975549,3-8-1965,театры
94,Орлов,Аркадий,снабжение,+79256890086,27-5-1982,саморазвитие
95,Андреев,Аркадий,логистика,+79578288539,10-6-1991,футбол
96,Синицын,Петр,бухгалтерия,+79757676004,9-7-1999,футбол
97,Семенов,Вячеслав,юристы,+79240075374,27-12-1993,рыбалка
98,Попов,Аркадий,кадры,+79725143183,7-11-1990,рыбалка
99,Потемкин,Николай,юристы,+79320669575,22-2-1969,саморазвитие
100,Сергеев,Аркадий,бухгалтерия,+79417263441,10-10-1982,рыбалка
101,Иванов,Николай,продажи,+79634847785,20-8-1986,путешествия
102,Орлов,Вячеслав,кадры,+79636344752,28-5-1964,саморазвитие
103,Сидоров,Сергей,логистика,+79557978397,3-10-1984,прочее
104,Синицын,Михаил,снабжение,+79934534304,2-12-1987,путешествия
105,Андреев,Андрей,кадры,+79819507969,14-12-1982,театры
106,Попов,Сергей,сервис,+79219805909,8-2-1985,рыбалка
107,Сергеев,Петр,продажи,+79199047739,10-4-1997,рыбалка
108,Голубев,Сергей,маректинг,+79531457478,15-1-1994,футбол
109,Потемкин,Андрей,логистика,+79280361678,17-12-1969,путешествия
110,Потемкин,Михаил,кадры,+79948082263,4-7-1974,путешествия
111,Сидоров,Сергей,юристы,+79503807972,12-1-1983,рыбалка
112,Андреев,Михаил,снабжение,+79364530061,21-5-1985,прочее
113,Орлов,Михаил,юристы,+79217976311,13-9-1997,саморазвитие
114,Сидоров,Сергей,дирекция,+79542506088,9-12-1998,рыбалка
115,Семенов,Петр,снабжение,+79771835481,15-4-1970,авто
116,Потемкин,Андрей,маректинг,+79965599377,8-10-1985,музеи
117,Потемкин,Андрей,логистика,+79404277070,5-7-1998,путешествия
118,Петров,Михаил,снабжение,+79421991342,10-6-1994,путешествия
119,Семенов,Вячеслав,дирекция,+79297577919,16-5-1979,музеи
120,Голубев,Николай,продажи,+79635584057,8-3-1985,баня
